"agea","gndr","eduyrs","cntry","nwspol","netusoft","netustm"
54,"Mujer",11,"Austria",45,5,300
33,"Mujer",12,"Austria",20,5,60
33,"Varón",9,"Austria",60,5,240
71,"Mujer",22,"Austria",240,5,180
43,"Varón",16,"Austria",25,5,150
38,"Varón",12,"Austria",50,5,30
34,"Varón",12,"Austria",5,5,180
66,"Varón",18,"Austria",60,5,120
60,"Mujer",11,"Austria",15,5,150
56,"Mujer",11,"Austria",60,5,90
28,"Mujer",12,"Austria",60,5,120
49,"Mujer",15,"Austria",30,4,120
26,"Mujer",18,"Austria",15,5,420
48,"Varón",13,"Austria",45,5,150
75,"Varón",14,"Austria",90,5,60
49,"Varón",12,"Austria",30,5,180
57,"Varón",10,"Austria",60,5,150
23,"Varón",11,"Austria",45,5,240
69,"Mujer",12,"Austria",20,5,60
34,"Varón",16,"Austria",20,5,510
42,"Mujer",15,"Austria",90,5,30
42,"Varón",13,"Austria",30,5,180
32,"Mujer",9,"Austria",1,5,180
80,"Varón",9,"Austria",60,5,60
68,"Varón",12,"Austria",300,5,120
49,"Varón",13,"Austria",30,5,120
60,"Mujer",9,"Austria",60,5,60
43,"Varón",20,"Austria",60,5,360
41,"Mujer",14,"Austria",10,5,60
55,"Mujer",12,"Austria",5,5,90
25,"Mujer",19,"Austria",20,5,180
34,"Varón",15,"Austria",20,5,300
48,"Mujer",18,"Austria",30,5,90
58,"Varón",13,"Austria",90,4,120
24,"Varón",12,"Austria",30,5,300
62,"Mujer",9,"Austria",30,5,90
65,"Varón",12,"Austria",45,5,90
51,"Mujer",11,"Austria",45,5,120
56,"Varón",12,"Austria",60,4,120
58,"Varón",13,"Austria",60,4,420
74,"Mujer",12,"Austria",60,4,30
19,"Mujer",12,"Austria",0,5,240
31,"Varón",13,"Austria",60,5,240
19,"Mujer",11,"Austria",0,5,600
50,"Varón",12,"Austria",60,5,90
15,"Mujer",9,"Austria",0,5,150
53,"Mujer",16,"Austria",10,5,60
87,"Mujer",11,"Austria",60,5,60
53,"Mujer",11,"Austria",60,5,150
77,"Varón",11,"Austria",90,5,45
53,"Mujer",14,"Austria",5,5,90
49,"Varón",12,"Austria",60,5,60
26,"Varón",18,"Austria",30,5,480
43,"Mujer",12,"Austria",10,5,60
72,"Mujer",12,"Austria",30,5,60
41,"Varón",11,"Austria",60,5,180
31,"Mujer",12,"Austria",5,5,180
37,"Mujer",9,"Austria",0,5,300
63,"Varón",11,"Austria",60,5,660
70,"Mujer",16,"Austria",30,5,90
47,"Varón",14,"Austria",45,5,225
37,"Varón",16,"Austria",0,5,300
63,"Varón",21,"Austria",60,5,360
68,"Varón",12,"Austria",60,5,120
58,"Varón",9,"Austria",10,5,120
51,"Mujer",12,"Austria",60,5,90
76,"Mujer",8,"Austria",35,5,30
58,"Mujer",12,"Austria",30,5,180
29,"Mujer",11,"Austria",20,5,300
64,"Mujer",12,"Austria",15,5,120
30,"Mujer",20,"Austria",180,5,240
27,"Mujer",12,"Austria",30,5,540
69,"Mujer",14,"Austria",60,5,30
41,"Mujer",12,"Austria",60,4,90
83,"Varón",1,"Austria",210,5,120
49,"Varón",13,"Austria",30,5,180
48,"Varón",13,"Austria",30,5,330
59,"Mujer",10,"Austria",15,4,30
57,"Varón",10,"Austria",30,5,180
44,"Varón",11,"Austria",15,5,180
64,"Mujer",12,"Austria",30,5,30
41,"Mujer",12,"Austria",10,5,90
19,"Mujer",11,"Austria",0,5,540
52,"Varón",4,"Austria",30,5,50
67,"Mujer",18,"Austria",30,5,90
71,"Mujer",12,"Austria",30,5,60
59,"Mujer",9,"Austria",0,5,300
29,"Mujer",12,"Austria",40,5,300
53,"Mujer",14,"Austria",30,5,120
55,"Varón",11,"Austria",45,5,240
50,"Mujer",12,"Austria",0,5,90
55,"Mujer",15,"Austria",0,4,45
31,"Mujer",4,"Austria",10,5,390
74,"Varón",12,"Austria",60,5,30
39,"Mujer",13,"Austria",15,5,210
64,"Mujer",13,"Austria",90,5,30
43,"Varón",13,"Austria",15,5,540
65,"Mujer",9,"Austria",30,5,90
22,"Varón",14,"Austria",12,5,120
47,"Varón",12,"Austria",30,5,180
45,"Varón",12,"Austria",60,5,240
64,"Varón",11,"Austria",60,5,10
60,"Varón",18,"Austria",75,5,300
32,"Varón",11,"Austria",60,5,180
68,"Mujer",11,"Austria",90,5,180
40,"Mujer",17,"Austria",5,5,60
59,"Varón",12,"Austria",30,5,240
27,"Varón",9,"Austria",10,5,180
72,"Mujer",19,"Austria",60,5,120
58,"Varón",12,"Austria",15,5,120
55,"Mujer",12,"Austria",30,4,45
21,"Varón",13,"Austria",180,5,360
67,"Varón",18,"Austria",120,5,120
37,"Mujer",11,"Austria",20,5,180
54,"Varón",11,"Austria",60,5,120
30,"Varón",20,"Austria",90,5,360
61,"Mujer",11,"Austria",120,5,180
67,"Varón",15,"Austria",90,5,480
50,"Mujer",19,"Austria",5,4,90
